1114389,DE618Z5178,8,DG#1 H.T. WATER TEMPERATURE HIGH,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,9,DG#1 T/C LUB OIL PRESSURE LOW,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,10,DG#1 FUEL OIL FILTER DIFFERENTIAL PRESSURE HIGH,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,11,DG#1 STARTING AIR PRESSURE LOW,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,12,DG#1 FUEL OIL LEAK TANK LEVEL HIGH,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,13,DG#1 LUB OIL SUMP TANK LEVEL LOW,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,14,DG#1 LUB OIL SUMP TANK LEVEL HIGH,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,15,DG#1 OIL MIST PRE-ALARM,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,16,DG#1 OIL MIST DETECTOR TROUBLE,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,17,DG#1 ENGINE RUN,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,1,1,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,18,DG#1 READY TO START,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,19,DG#1 OVER SPEED (STOP),2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,20,DG#1 H.T. WATER TEMPERATURE HIGH (STOP),2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,21,DG#1 LUB OIL PRESSURE LOW (STOP),2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,22,DG#1 OIL MIST HIGH DENSITY ALARM (STOP),2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,23,DG#1 EMERGENCY STOP (REMOTE/LOCAL),2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,24,DG#1 START FAILURE,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,25,DG#1 PRIMING PUMP TERMAL FAILURE,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
1114389,DE618Z5178,26,DG#1 PRIMING LUB OIL PRESSURE LOW,2026-04-08T05:02:57+00:00,2026-04-08T05:02:57+00:00,0,0,On/Off,H429_DG1-2026-04-08-05-02-57.csv
